"Index","P","Q","E"
1980-08-12,7.71,0.587788201560847,4.16
1980-08-13,0,0.441307770956782,2.08
1980-08-14,0,0.341599210240937,1.6
1980-08-15,6.52,0.562531614353463,3.04
1980-08-16,1.49,0.494956020523324,3.2
1980-08-17,0.04,0.383488663918567,0.8
1980-08-18,0,0.305857204051816,1.44
1980-08-19,0,0.252820986567075,3.04
1980-08-20,0,0.21647020507084,0.96
1980-08-21,17.26,0.978319646324479,1.76
1980-08-22,0.04,0.720858606083863,2.08
1980-08-23,0,0.54359640367686,3.04
1980-08-24,27.65,2.19931965722512,1.28
1980-08-25,13.31,2.66102179968441,4
1980-08-26,0.46,1.93468990830713,2.4
1980-08-27,0.43,1.43788423735608,1.12
1980-08-28,0.09,1.07415053251336,2.88
1980-08-29,0,0.81994080328645,3.68
1980-08-30,0,0.646756525779633,3.36
1980-08-31,7.69,1.02578721875771,5.28
1980-09-01,7.99,1.31221644767279,4.16
1980-09-02,4.55,1.290372802448,3.52
1980-09-03,0.94,1.04000728959072,2.72
1980-09-04,0.05,0.813897850367319,4
1980-09-05,0,0.656733947141403,3.2
1980-09-06,0,0.549262246417055,2.56
1980-09-07,0,0.475502633814408,3.52
1980-09-08,0,0.424616185326454,4.96
1980-09-09,12.1,0.880164875080428,7.52
1980-09-10,13.48,1.35528771217817,4.48
1980-09-11,0,1.03450231748993,3.2
1980-09-12,3.62,0.99049211961524,4.32
1980-09-13,0,0.78756534200365,2.56
1980-09-14,0,0.648961924512347,3.2
1980-09-15,11.55,1.06359749208608,3.36
1980-09-16,8.01,1.26563378612082,3.52
1980-09-17,0.43,1.00598849075792,3.2
1980-09-18,36.17,3.31190209960131,5.28
1980-09-19,2.02,2.5621035995255,4.64
1980-09-20,0,1.89618959859898,3.2
1980-09-21,0,1.44319979749674,3.2
1980-09-22,0,1.13464149565977,6.4
1980-09-23,0,0.924057923176258,3.2
1980-09-24,0.43,0.800087086048395,3.68
1980-09-25,0,0.694854773106832,5.44
1980-09-26,0.04,0.623522767502379,4.16
1980-09-27,0,0.572590167774617,4.64
