"Index","P","Q","E"
1967-05-02,0.01,0.0569378775510204,3.04
1967-05-03,0,0.0581874489795918,3.04
1967-05-04,0,0.0588674285714286,4.08
1967-05-05,0.22,0.0587798775510204,3.04
1967-05-06,0,0.0588009591836735,2.24
1967-05-07,0.03,0.0595906530612245,2.64
1967-05-08,0,0.0600839183673469,1.6
1967-05-09,0.01,0.0594749591836735,1.44
1967-05-10,0.01,0.0593537142857143,2
1967-05-11,0.05,0.058904306122449,2.64
1967-05-12,0,0.0589240408163265,2.4
1967-05-13,0,0.0589437959183673,2.24
1967-05-14,0.02,0.0578951224489796,2
1967-05-15,0,0.0565825510204082,3.04
1967-05-16,0,0.0566037346938776,1.6
1967-05-17,0,0.0566249387755102,1.84
1967-05-18,0,0.0566461224489796,0.64
1967-05-19,1.9,0.0566673265306123,2
1967-05-20,6.69,0.0576287346938776,1.6
1967-05-21,10.15,0.0808138367346939,0.8
1967-05-22,4.44,0.167363897959184,2
1967-05-23,0.74,0.148922653061224,3.04
1967-05-24,0.84,0.10583112244898,3.04
1967-05-25,0.03,0.0881661224489796,1.84
1967-05-26,0.28,0.0753588979591837,0
1967-05-27,0.3,0.0731487346938776,2.88
1967-05-28,0.12,0.0726950204081633,2
1967-05-29,0.43,0.0720418571428572,1.6
1967-05-30,0.02,0.0720683265306123,1.84
1967-05-31,0.04,0.0699870612244898,1.04
1967-06-01,0.18,0.0701768571428572,0.64
1967-06-02,0.18,0.0698831632653061,1.84
1967-06-03,0.01,0.0684807755102041,0.8
1967-06-04,0.01,0.0662671632653061,1.44
1967-06-05,0.77,0.0655826734693878,0
1967-06-06,1.48,0.0656324489795918,1.04
1967-06-07,1.17,0.0668933265306123,0.64
1967-06-08,2.29,0.0708110408163265,1.84
1967-06-09,2.54,0.0844474081632653,0.4
1967-06-10,0.34,0.10884312244898,0.64
1967-06-11,0.34,0.116810816326531,0.4
1967-06-12,0.97,0.0999724693877551,1.2
1967-06-13,1.64,0.0848827346938776,0.8
1967-06-14,5.46,0.0809432857142857,1.04
1967-06-15,0.96,0.0953801632653061,0.8
1967-06-16,1.05,0.213134693877551,1.04
1967-06-17,1.53,0.191236857142857,1.04
1967-06-18,0,0.127323530612245,3.04
1967-06-19,0.38,0.117676510204082,0.4
1967-06-20,0.03,0.100575836734694,1.04
1967-06-21,0.07,0.0886500612244898,0.8
1967-06-22,4.18,0.0839868367346939,0.8
1967-06-23,1.03,0.0858665102040816,0.4
1967-06-24,0.18,0.109030857142857,0.64
1967-06-25,0,0.114764428571429,1.04
1967-06-26,0.23,0.0973862857142857,2.64
1967-06-27,0.05,0.0861463469387755,1.84
1967-06-28,0,0.0812499795918367,1.6
1967-06-29,0.47,0.0775627346938776,1.04
1967-06-30,0.99,0.0750009183673469,0.64
1967-07-01,0.01,0.0784578367346939,1.6
1967-07-02,0,0.087651693877551,1.84
1967-07-03,1.27,0.0903538775510204,0.64
1967-07-04,0.52,0.0841162653061225,1.44
1967-07-05,0.46,0.0817154489795918,1.44
1967-07-06,0,0.0825915306122449,1.2
1967-07-07,0.02,0.0863901632653061,1.2
1967-07-08,1.68,0.0830640408163265,1.04
1967-07-09,0.14,0.0790169795918367,1.2
1967-07-10,5.42,0.0773007142857143,2.24
1967-07-11,0,0.0794464897959184,1.2
1967-07-12,0,0.107917081632653,1.04
1967-07-13,0.12,0.105555387755102,0.64
1967-07-14,0.07,0.089466306122449,2.24
1967-07-15,0,0.082241918367347,1.84
1967-07-16,0.02,0.0793122857142857,1.2
1967-07-17,0.3,0.0781763877551021,1.2
1967-07-18,0.68,0.0764123469387755,3.28
1967-07-19,0.09,0.0750935306122449,0.64
1967-07-20,0,0.0750635102040816,1.44
1967-07-21,0,0.0716669387755102,2
1967-07-22,0,0.0701069591836735,0.24
1967-07-23,0,0.0677227551020408,1.6
1967-07-24,0,0.0682397142857143,1.04
1967-07-25,0,0.0684988979591837,1.04
1967-07-26,1.22,0.0686049387755102,1.2
1967-07-27,1.27,0.0705756326530612,1.2
1967-07-28,0.27,0.0734317755102041,1.04
1967-07-29,1.03,0.0843429183673469,2.24
1967-07-30,0.98,0.0889467142857143,1.2
1967-07-31,1.12,0.0924175918367347,1.6
1967-08-01,0.17,0.0887150204081633,1.04
1967-08-02,0,0.0824779387755102,1.6
1967-08-03,0,0.0768441632653061,2.24
1967-08-04,0.46,0.0746568571428571,0.8
1967-08-05,8.44,0.0712498163265306,1.6
1967-08-06,38.44,0.069401693877551,1.04
1967-08-07,37.87,0.275958571428571,1.04
