"f","e","d","tau_q","tau_s","v_s","results"
1.27777777777778,0.994444444444444,433.333333333333,8.44444444444444,288.888888888889,0.8,1.57189074229188
1.27777777777778,0.998888888888889,433.333333333333,8.44444444444444,288.888888888889,0.8,1.57427354001616
1.5,0.998888888888889,433.333333333333,8.44444444444444,288.888888888889,0.8,1.63105883599338
1.5,0.998888888888889,433.333333333333,8.44444444444444,288.888888888889,0.733333333333333,1.61489096973949
1.5,0.998888888888889,355.555555555556,8.44444444444444,288.888888888889,0.733333333333333,1.57096794966071
1.5,0.998888888888889,355.555555555556,8.44444444444444,466.666666666667,0.733333333333333,1.57691337363852
1.5,0.998888888888889,355.555555555556,10,466.666666666667,0.733333333333333,1.58404000935305
1.27777777777778,1.00555555555556,316.666666666667,8.44444444444444,822.222222222222,0.866666666666667,1.5803652738046
1.05555555555556,1.00555555555556,316.666666666667,8.44444444444444,822.222222222222,0.866666666666667,1.52129775158135
1.05555555555556,1.00555555555556,316.666666666667,10,822.222222222222,0.866666666666667,1.52724889608996
1.05555555555556,1.00555555555556,316.666666666667,10,822.222222222222,0.933333333333333,1.56986002705061
1.05555555555556,1.00555555555556,316.666666666667,10,1000,0.933333333333333,1.58037650343761
1.05555555555556,1.01,316.666666666667,10,1000,0.933333333333333,1.58180959923308
1.05555555555556,1.01,238.888888888889,10,1000,0.933333333333333,1.54881732790881
0.944444444444444,0.992222222222222,511.111111111111,4.55555555555556,644.444444444444,0.733333333333333,1.42158186789757
1.16666666666667,0.992222222222222,511.111111111111,4.55555555555556,644.444444444444,0.733333333333333,1.52743759561899
1.16666666666667,0.992222222222222,433.333333333333,4.55555555555556,644.444444444444,0.733333333333333,1.49427401850278
1.16666666666667,0.992222222222222,433.333333333333,4.55555555555556,644.444444444444,0.8,1.53095445465072
1.16666666666667,0.992222222222222,433.333333333333,4.55555555555556,466.666666666667,0.8,1.52311716310885
1.16666666666667,0.992222222222222,433.333333333333,3,466.666666666667,0.8,1.50628567625302
1.16666666666667,0.996666666666667,433.333333333333,3,466.666666666667,0.8,1.50895944537644
1.05555555555556,0.992222222222222,472.222222222222,8.44444444444444,377.777777777778,0.766666666666667,1.50312904682287
1.05555555555556,0.992222222222222,550,8.44444444444444,377.777777777778,0.766666666666667,1.52973574171547
1.05555555555556,0.992222222222222,550,8.44444444444444,200,0.766666666666667,1.51484181238506
1.27777777777778,0.992222222222222,550,8.44444444444444,200,0.766666666666667,1.59921020322407
1.27777777777778,0.992222222222222,550,8.44444444444444,200,0.833333333333333,1.61661964491807
1.27777777777778,0.996666666666667,550,8.44444444444444,200,0.833333333333333,1.61882999352604
1.27777777777778,0.996666666666667,550,6.88888888888889,200,0.833333333333333,1.61413338099397
1.05555555555556,1.00555555555556,394.444444444444,4.55555555555556,555.555555555556,0.833333333333333,1.49643387609273
1.05555555555556,1.00555555555556,316.666666666667,4.55555555555556,555.555555555556,0.833333333333333,1.45245901666944
0.833333333333333,1.00555555555556,316.666666666667,4.55555555555556,555.555555555556,0.833333333333333,1.34547802893811
0.833333333333333,1.00555555555556,316.666666666667,3,555.555555555556,0.833333333333333,1.31962185518545
0.833333333333333,1.00555555555556,316.666666666667,3,377.777777777778,0.833333333333333,1.29613467516905
0.833333333333333,1.00555555555556,316.666666666667,3,377.777777777778,0.9,1.37489795903536
0.833333333333333,1.01,316.666666666667,3,377.777777777778,0.9,1.37668358786207
0.722222222222222,1.00777777777778,394.444444444444,6.88888888888889,377.777777777778,0.8,1.27756114952467
0.5,1.00777777777778,394.444444444444,6.88888888888889,377.777777777778,0.8,1.17040797551854
0.5,1.00777777777778,394.444444444444,6.88888888888889,377.777777777778,0.733333333333333,1.1001653246697
0.5,1.00777777777778,316.666666666667,6.88888888888889,377.777777777778,0.733333333333333,1.08809018643922
0.5,1.00333333333333,316.666666666667,6.88888888888889,377.777777777778,0.733333333333333,1.08774615015579
0.5,1.00333333333333,316.666666666667,6.88888888888889,200,0.733333333333333,1.04792153971597
0.5,1.00333333333333,316.666666666667,8.44444444444444,200,0.733333333333333,1.07555920447805
1.5,0.996666666666667,238.888888888889,4.55555555555556,644.444444444444,0.966666666666667,1.61712613917354
1.5,1.00111111111111,238.888888888889,4.55555555555556,644.444444444444,0.966666666666667,1.61887288157823
1.5,1.00111111111111,238.888888888889,4.55555555555556,644.444444444444,0.9,1.57030264980243
1.27777777777778,1.00111111111111,238.888888888889,4.55555555555556,644.444444444444,0.9,1.52464053403242
1.27777777777778,1.00111111111111,316.666666666667,4.55555555555556,644.444444444444,0.9,1.57333504534616
1.27777777777778,1.00111111111111,316.666666666667,6.11111111111111,644.444444444444,0.9,1.58041115255244
1.27777777777778,1.00111111111111,316.666666666667,6.11111111111111,466.666666666667,0.9,1.5700352102952
0.944444444444444,0.994444444444444,277.777777777778,10,377.777777777778,0.8,1.37673935496784
0.722222222222222,0.994444444444444,277.777777777778,10,377.777777777778,0.8,1.26138473263289
0.722222222222222,0.994444444444444,355.555555555556,10,377.777777777778,0.8,1.28870761527006
0.722222222222222,0.994444444444444,355.555555555556,8.44444444444444,377.777777777778,0.8,1.27570900263316
0.722222222222222,0.994444444444444,355.555555555556,8.44444444444444,200,0.8,1.23473239701264
0.722222222222222,0.998888888888889,355.555555555556,8.44444444444444,200,0.8,1.2363261680887
0.722222222222222,0.998888888888889,355.555555555556,8.44444444444444,200,0.866666666666667,1.28916089239272
0.5,0.99,316.666666666667,3,733.333333333333,0.7,0.9700955537987
0.5,0.994444444444444,316.666666666667,3,733.333333333333,0.7,0.970680392390872
0.5,0.994444444444444,316.666666666667,3,733.333333333333,0.766666666666667,1.06434014544101
0.5,0.994444444444444,316.666666666667,3,911.111111111111,0.766666666666667,1.07551271171245
0.722222222222222,0.994444444444444,316.666666666667,3,911.111111111111,0.766666666666667,1.18983411631107
0.722222222222222,0.994444444444444,394.444444444444,3,911.111111111111,0.766666666666667,1.22225983480009
0.722222222222222,0.994444444444444,394.444444444444,4.55555555555556,911.111111111111,0.766666666666667,1.25823080833521
0.833333333333333,1.01,316.666666666667,10,288.888888888889,0.933333333333333,1.42927190011936
0.833333333333333,1.01,316.666666666667,10,288.888888888889,0.866666666666667,1.38103259739768
1.05555555555556,1.01,316.666666666667,10,288.888888888889,0.866666666666667,1.48374334783023
1.05555555555556,1.01,394.444444444444,10,288.888888888889,0.866666666666667,1.52441720414617
1.05555555555556,1.01,394.444444444444,8.44444444444444,288.888888888889,0.866666666666667,1.51914557226079
1.05555555555556,1.00555555555556,394.444444444444,8.44444444444444,288.888888888889,0.866666666666667,1.51706219951569
1.05555555555556,1.00555555555556,394.444444444444,8.44444444444444,466.666666666667,0.866666666666667,1.53384301112497
