"","uztwm","uzfwm","uzk","pctim","adimp","zperc","rexp","lztwm","lzfsm","lzfpm","lzsk","lzpk","pfree"
"57",0.119648244245534,0.000189494206378995,0,-0.541639815251632,-0.180957962551017,0,0,0.192977577476197,-0.0274259270060389,0.0257894955977031,-0.079972768539617,-0.0813729655796248,0.137519771253761
"58",-0.0686256123936389,-1.11358680669969e-08,-1.97163469625048e-08,-0.0912806747887974,-0.0494119609640825,9.20408538657073e-08,9.77174125773725e-06,-0.0232426356715564,-0.00857617040312201,0.00547846815783142,0.0177709211047946,0.0150313385248357,0.40534338205045
"59",0.436035100212902,2.38987100738993,0,-0.0169554636884935,-0.00210632410018051,0,0,0.00398318270478282,-4.53129291018625e-06,7.62549116741898e-06,-0.000727556332027895,-0.000781774649628143,-0.00136097695417233
"60",0.145221116508361,0.00244137586723189,0,-0.558798642269797,-0.411404153665538,0,0,0.295522106296641,0.0104631777782221,-0.00282844160227188,-0.00132128979092021,0.0947642602845742,0.195265895565755
"61",0.00088480526372482,-7.66728324207157e-07,0,0.172530823889864,0.0694567053722661,0,0,-0.0229611126079139,-0.00456291878663808,0.215479494677648,0.0386500568944419,-0.143484200323768,0.0266650177233672
"62",1.45480949073994,-0.000791933193949745,0,-0.382161022849593,-0.3738299574147,0,0,0.348005516701921,0.0344556688592094,-4.80859284108169e-05,-0.000223497513071202,-0.212445423047822,-0.30153425538702
"63",0.118894688627339,4.51353971992527e-05,0,-0.0928963740717935,0.0868013306005499,0,0,0.00095457799456013,-0.026443658038174,0.023668812959382,-0.133713501855714,-0.150147271237589,0.0134460769101437
"64",-0.0992356126040939,-1.29202664760109e-05,0,0.0266150035741396,-0.0902759704775693,0,0,0.0185237397154147,0.00241386607131809,-0.00199630081885053,0.00372041492614243,0.00653857808984063,0.344987103569935
"65",0.0273889822744119,2.89766594493908e-06,0,-0.0852661248586951,0.00104493721787697,0,0,-0.0167586879140645,0.000817279603840525,-7.16371606797815e-07,1.176104463475e-05,0.00630629278630254,0.492726799102605
"66",0.0436124749099168,9.64407912678127e-06,0,-0.219219121439392,-0.0200946463098954,0.023737634670611,-0.0039596892901938,0.0196621629598598,0.0383425720761777,0.0191425298758537,-0.0494280316929561,-0.0343655903909761,-0.0151269584992974
"67",1.49600485817577,3.74365296856288e-06,0,-0.581556330707215,-0.346617464625833,0,-3.01519245802768e-10,0.24937701846445,0.0100605823275647,-0.00661729989085505,-0.151396177997092,-0.0593855127823187,0.0448074256834392
"68",0.0992279281950919,4.3817419803785,0,-0.416479254421486,-0.147061342141706,0,0,0.0766639622627546,0.0708393745783163,-0.0409478398565042,-0.0722299412823833,-0.0666785588351651,0.407737638271181
"69",0.0770580090983974,3.38468478188465,0,-0.381359671132917,-0.0831320950703577,0,0,0.100282012671546,-0.00148182666987062,0.00164836068035139,0.0204401892940155,0.00870164741854305,0.260540623186035
"70",-0.0620347834068133,-1.73598957273508e-05,0,0.429146033317921,0.0478226645425248,0,2.95198054930933e-07,-0.00719860012102064,0.000673276398829212,-0.00067896520736351,0.00573702229254049,0.0180834173680697,0.510139305481261
"71",0.178519696508687,-0.0554774305283811,-0.119167856261332,-0.0519097123112476,-0.0538113641912869,-0.158739510387339,-5.79248964841672e-05,-0.0938418772114601,-0.00135786675144855,0.000267323317441073,-0.00400701453662906,-0.0783571037878528,0.238082612841881
"72",0.163527366124133,4.25682817083221,0,-0.0879987890600968,-0.0905025475219485,0,0,0.00782583512195908,-0.00121435313812996,-0.000882775116695247,-0.0106007527308657,-0.0286715302544566,0.179865873032309
"73",0.251522472582976,1.52535983179255e-05,0,-0.63973011691384,-0.340923689700172,0,0,0.121628954417169,0.0073454125197435,-0.00508782450147836,-0.00194286685318677,-0.00943640498865286,0.0142980624447007
"74",0.396486872669105,9.84884723593655e-09,0,-0.186195503919383,-0.35908344087473,0,0,2.4935282356683,0.0158937604418315,-0.00790934671336996,-0.0650023834482601,-0.0806323920371237,0.0386074389157594
"75",0.0251824841682374,2.21775187668879e-05,0,-0.424947084177902,-0.0564044096432163,0,0,0.0131806134231448,0.00225338493402357,-0.000639189456992732,0.00137129815660331,0.00786634497628941,0.261160984063899
"76",0.0178265753994238,0.00106650004213254,0,-0.148487639821174,-0.498207456340909,0,0,2.59114003706417,-0.00100478662805158,0.119622679286303,-0.0655440360857391,0.188894886438603,1.56852979554615e-05
"77",2.1161079650522,-0.000308675830546261,-4.13761965381888e-10,-0.454683315018192,0.122316309794435,0.0193087321713263,-0.0113141613500396,0.0310088480463156,-0.0101213977291521,0.0394201091637987,-0.650285659072666,-0.00243600169197124,-0.716737222238534
"78",0.061733378964699,-0.000800862007130268,1.76218233234582e-05,-0.264090555945461,-0.0410561231325992,-3.53453088226174e-05,0,-0.0697751692335033,0.00182767361217476,-0.00238576173683458,-0.0372778394403989,0.0326368732911347,0.266098269676137
"79",0.212126505035688,0.000134347983779393,0,-0.437001580288762,-0.176032417237044,0,0,0.135458826823468,-0.00021176588983823,0.000279205503471953,-0.00380150668085347,-0.0195618013056431,0.0540563801059292
"80",0.0979253074167787,4.42271073754519,0,-0.0134544759761758,0.000170957085694746,0,0,-6.26711832773639e-05,0.000160484412874232,-3.2053286491638e-05,-0.000393551269348598,-0.0023339981011703,-0.000315353640020697
"81",-0.0733860565001878,-0.000189255650274411,-0.00015209480291689,0.0443165541169115,0.0185541158367566,-0.0354592040435035,0.0252712525367361,-0.0233520979432028,-0.0238245628404453,0.00328349283453286,0.018766099818552,0.0374953867971723,0.712118554847573
"82",-0.125556467330328,-1.03273985411126e-05,0,0.442370484101448,0.0984082796481436,0,0,-0.0843304552871423,-0.0151280707450303,0.0138339668293807,-0.0273199144032681,-0.0744483556496435,0.151051217641156
"83",1.86272231674539,-0.000686041954343493,1.34061685193989e-09,-0.361704711085778,-0.457104781195387,-6.28248630473625e-09,2.87426366297367e-10,0.27323413493497,-0.0108427602532391,0.0160385527124676,-0.0579058851666752,-0.100496017912662,-0.250476428740098
"84",0.00362653330627341,2.07247356521543e-05,-9.56774410980178e-10,-0.382442463703664,-0.0812467406891555,6.22409381246516e-07,6.23994981484586e-07,0.017518298282955,-0.00301818340519893,0.00233874476176244,0.0203488779842639,0.0153793144311172,0.292622512394056
