"","P","Q","E"
"1980-04-24",51.818,2.90074074074074,1.9513
"1980-04-25",0,0.820833333333333,1.9161
"1980-04-26",0.688,0.573611111111111,1.6726
"1980-04-27",1.632,0.577222222222222,1.6865
"1980-04-28",0,0.513148148148148,1.6877
"1980-04-29",0,0.48037037037037,1.7152
"1980-04-30",8.0922,0.550277777777778,1.7064
"1980-05-01",0,0.658240740740741,1.7459
"1980-05-02",0,0.492037037037037,1.8131
"1980-05-03",0,0.470555555555556,1.9165
"1980-05-04",0,0.44962962962963,1.8238
"1980-05-05",0.2162,0.443148148148148,1.959
"1980-05-06",0,0.436388888888889,1.8748
"1980-05-07",0.2096,0.432685185185185,1.5276
"1980-05-08",0.5306,0.442777777777778,1.9851
"1980-05-09",0.0051,0.429907407407407,1.6502
"1980-05-10",0,0.427685185185185,1.5911
"1980-05-11",9.8731,0.698518518518518,1.5477
"1980-05-12",5.9783,0.802037037037037,1.2606
"1980-05-13",10.0442,1.25055555555556,1.518
"1980-05-14",0.1636,0.656296296296296,1.5662
"1980-05-15",0.1599,0.533425925925926,1.5189
"1980-05-16",0.1787,0.501481481481481,1.3833
"1980-05-17",9.667,0.751666666666667,1.335
"1980-05-18",0.7585,0.632407407407407,1.2786
"1980-05-19",0,0.530833333333333,1.2016
"1980-05-20",10.7688,0.993981481481481,1.25
"1980-05-21",3.5696,0.997037037037037,1.1587
"1980-05-22",0.2859,0.664259259259259,1.0876
"1980-05-23",0,0.59462962962963,1.2407
"1980-05-24",0.2436,0.541481481481481,1.196
"1980-05-25",1.8837,0.558796296296296,1.3309
"1980-05-26",0,0.515277777777778,1.3673
"1980-05-27",0,0.498981481481481,1.2987
"1980-05-28",13.216,0.686203703703704,1.2166
"1980-05-29",3.0168,0.785740740740741,1.2098
"1980-05-30",14.1388,0.946759259259259,1.1526
"1980-05-31",3.8849,1.29888888888889,1.1518
"1980-06-01",0.5083,0.775,1.1825
"1980-06-02",6.4526,0.933240740740741,1.1299
"1980-06-03",0.6243,0.80037037037037,1.058
"1980-06-04",7.8318,0.817407407407407,1.0345
"1980-06-05",6.9339,1.43972222222222,1.1213
"1980-06-06",1.7956,0.927777777777778,1.0566
"1980-06-07",0.0272,0.724074074074074,1.0419
"1980-06-08",0.0321,0.650185185185185,1.016
"1980-06-09",1.5613,0.608240740740741,1.05
"1980-06-10",5.4092,0.68212962962963,1.0099
"1980-06-11",4.6765,0.924537037037037,1.0103
"1980-06-12",0.3491,0.685462962962963,1.0111
"1980-06-13",0.1909,0.597777777777778,0.9976
"1980-06-14",0.0167,0.558333333333333,0.9933
"1980-06-15",0.1132,0.53537037037037,1.0207
"1980-06-16",0.5523,0.529166666666667,1.1165
"1980-06-17",0.697,0.553611111111111,1.0292
"1980-06-18",7.9768,0.770277777777778,1.0032
"1980-06-19",1.7793,0.760740740740741,1.0276
"1980-06-20",0.5183,0.623518518518518,1.0286
"1980-06-21",1.5469,0.575648148148148,1.0561
"1980-06-22",0,0.556388888888889,1.096
"1980-06-23",0,0.528611111111111,1.0627
"1980-06-24",0,0.514722222222222,1.0876
"1980-06-25",0.2321,0.503148148148148,1.1403
"1980-06-26",0.1197,0.495,1.1957
"1980-06-27",6.713,0.771018518518518,1.1452
