"Index","P","Q","E"
1964-05-04,0.02,0.642552027027027,-79.2
1964-05-05,0,0.731912162162162,-79.2
1964-05-06,9.15,0.590560810810811,-79.2
1964-05-07,0.03,0.547823648648649,-79.2
1964-05-08,1.29,0.512339864864865,-79.2
1964-05-09,0.02,0.47267972972973,-79.2
1964-05-10,0,0.444602027027027,-79.2
1964-05-11,0.05,0.430330405405405,-79.2
1964-05-12,0.13,0.428029054054054,-79.2
1964-05-13,0.08,0.415797972972973,-79.2
1964-05-14,0.03,0.393894594594595,-79.2
1964-05-15,2.95,0.387475675675676,-79.2
1964-05-16,0.01,0.369481081081081,-79.2
1964-05-17,0.03,0.363031081081081,-79.2
1964-05-18,0,0.357775675675676,-79.2
1964-05-19,0,0.346835135135135,-79.2
1964-05-20,0,0.339060135135135,-79.2
1964-05-21,0,0.328608783783784,-79.2
1964-05-22,0,0.323476351351351,-79.2
1964-05-23,0,0.316135810810811,-79.2
1964-05-24,0,0.310968243243243,-79.2
1964-05-25,0,0.3096,-79.2
1964-05-26,0,0.316959459459459,-79.2
1964-05-27,0,0.330983108108108,-79.2
1964-05-28,8.56,0.331716216216216,-79.2
1964-05-29,0,0.318452027027027,-79.2
1964-05-30,0,0.411943918918919,-79.2
1964-05-31,32.98,1.2767972972973,-79.2
1964-06-01,1.59,0.580013513513513,-79.2
1964-06-02,0,0.458860810810811,-79.2
1964-06-03,0,0.41180945945946,-79.2
1964-06-04,0,0.402573648648649,-79.2
1964-06-05,0,0.386032432432432,-79.2
1964-06-06,0,0.371936486486486,-79.2
1964-06-07,0.05,0.367943918918919,-79.2
1964-06-08,1.75,0.379701351351351,-79.2
1964-06-09,0,0.376284459459459,-79.2
1964-06-10,0,0.37532972972973,-79.2
1964-06-11,0.02,0.382247297297297,-79.2
1964-06-12,0,0.402247972972973,-79.2
1964-06-13,0,0.382311486486486,-79.2
1964-06-14,0,0.361787162162162,-79.2
1964-06-15,0,0.347037837837838,-79.2
1964-06-16,3.6,0.352819594594595,-79.2
1964-06-17,0.03,0.353000675675676,-79.2
1964-06-18,4.39,0.368439189189189,-79.2
1964-06-19,10.72,0.587859459459459,-79.2
1964-06-20,3.98,0.53022027027027,-79.2
1964-06-21,0.05,0.512792567567568,-79.2
1964-06-22,0.02,0.521670945945946,-79.2
1964-06-23,21.15,0.932587837837838,-79.2
1964-06-24,8.34,0.866736486486486,-79.2
1964-06-25,0.06,0.716060810810811,-79.2
1964-06-26,0.28,0.751263513513514,-79.2
1964-06-27,0.3,0.707040540540541,-79.2
1964-06-28,0.05,0.621365540540541,-79.2
1964-06-29,0.07,1.08932432432432,-79.2
1964-06-30,22.92,1.07430405405405,-79.2
1964-07-01,19.57,1.57839189189189,-79.2
1964-07-02,0.05,1.56454054054054,-79.2
1964-07-03,18.02,2.39930405405405,-79.2
1964-07-04,0.03,1.90266216216216,-79.2
1964-07-05,0.07,1.57280405405405,-79.2
1964-07-06,3.88,1.37042567567568,-79.2
1964-07-07,0.3,1.2372972972973,-79.2
1964-07-08,0.08,1.13057432432432,-79.2
1964-07-09,0.18,1.02733108108108,-79.2
1964-07-10,0.03,0.967033783783784,-79.2
1964-07-11,0.05,0.967128378378378,-79.2
1964-07-12,0,1.34342567567568,-79.2
1964-07-13,0,2.65993918918919,-79.2
1964-07-14,106.03,3.23632432432432,-79.2
1964-07-15,0,2.43410810810811,-79.2
1964-07-16,24.21,2.69385810810811,-79.2
1964-07-17,0,6.12329054054054,-79.2
1964-07-18,34.88,3.64990540540541,-79.2
1964-07-19,0,4.79334459459459,-79.2
1964-07-20,0,8.61114864864865,-79.2
1964-07-21,0,5.40525675675676,-79.2
1964-07-22,0,4.00776351351351,-79.2
1964-07-23,0,3.31069594594595,-79.2
1964-07-24,0,3.56698648648649,-79.2
1964-07-25,27.7,3.55450675675676,-79.2
1964-07-26,0,2.93115540540541,-79.2
1964-07-27,3.81,2.65747972972973,-79.2
1964-07-28,0,2.4922972972973,-79.2
1964-07-29,0,2.37654054054054,-79.2
1964-07-30,0,2.25297972972973,-79.2
1964-07-31,0,2.18268918918919,-79.2
1964-08-01,0,2.25261486486486,-79.2
1964-08-02,0,2.13666216216216,-79.2
1964-08-03,0,2.10981756756757,-79.2
1964-08-04,0,2.15685135135135,-79.2
1964-08-05,5.6,2.42187837837838,-79.2
1964-08-06,0,2.43190540540541,-79.2
1964-08-07,22.52,2.25141891891892,-79.2
1964-08-08,0,2.24579054054054,-79.2
1964-08-09,26.85,2.37187837837838,-79.2
1964-08-10,0,2.15781756756757,-79.2
1964-08-11,0,2.11572972972973,-79.2
1964-08-12,0,1.9624527027027,-79.2
1964-08-13,0,1.84916891891892,-79.2
1964-08-14,0,1.94211486486486,-79.2
1964-08-15,0,1.93143918918919,-79.2
1964-08-16,0,1.87971621621622,-79.2
1964-08-17,0,1.75183108108108,-79.2
1964-08-18,0,1.67127702702703,-79.2
1964-08-19,0,1.66758783783784,-79.2
1964-08-20,0,1.68479054054054,-79.2
1964-08-21,0,1.6377972972973,-79.2
1964-08-22,0,1.66961486486486,-79.2
1964-08-23,0,1.85929054054054,-79.2
1964-08-24,0,5.46903378378378,-79.2
1964-08-25,53.02,10.8423648648649,-79.2
1964-08-26,4.23,9.65858108108108,-79.2
1964-08-27,0.01,7.63432432432433,-79.2
1964-08-28,0,6.23875,-79.2
1964-08-29,0.17,5.30467567567568,-79.2
1964-08-30,0.23,4.63165540540541,-79.2
1964-08-31,0.03,4.2342972972973,-79.2
1964-09-01,0.02,3.91924324324324,-79.2
1964-09-02,1.48,3.69141891891892,-79.2
1964-09-03,0,3.74175,-79.2
1964-09-04,0.33,4.66353378378378,-79.2
1964-09-05,0.12,4.36229054054054,-79.2
1964-09-06,0,4.0324527027027,-79.2
1964-09-07,39.7,7.67202702702703,-79.2
1964-09-08,7.26,5.66023648648649,-79.2
1964-09-09,0.21,4.7060472972973,-79.2
1964-09-10,0,4.26283783783784,-79.2
1964-09-11,17.24,6.44770945945946,-79.2
1964-09-12,0.54,5.74427027027027,-79.2
1964-09-13,0.29,5.39658783783784,-79.2
1964-09-14,17.33,4.62160810810811,-79.2
1964-09-15,0,4.14127702702703,-79.2
1964-09-16,0.26,4.65962162162162,-79.2
1964-09-17,19.14,4.13812162162162,-79.2
1964-09-18,0.19,3.60544594594595,-79.2
